,Time,Tweets,Tweeter,Likes
66,2021-05-20 11:05:59,"When southerners go up north, They buy land, they rent shops, Then they use it for business.  But when killer herdsmen, largely northerners, come down south; they want to invade farms, attack farmers, murder people and kill innocent women and children.  What is all this madness?",DrOlufunmilayo,258
67,2021-05-20 10:50:47,"This is simple commonsense. But to our fellow Nigerians blinded by bigotry, this is impossible to comprehend.  But I will explain again: IF anybody wants to herd cows, Buy a land. Or rent a farm.  Using cows to invade peoples farms and killing farmers is clear barbaric terrorism.",DrOlufunmilayo,376
68,2021-05-20 10:39:58,"Before this whole thing is twisted, Let’s put out the truth:  Southern Governors did NOT ban grazing. Southern Governors banned OPEN grazing.  IF you want to herd cows, Buy a land. Or rent one.  If you are not a killer herdsman sympathiser, this should not be hard to understand.",DrOlufunmilayo,1343
69,2021-05-20 09:58:56,There is no home from home anywhere.,iyoaye,1
70,2021-05-19 17:57:19,"I wan buy the dip last night. As I wake up today, I hear dip don turn to dip shit. Omo we try again tomorrow.  In all of these, Don’t forget your mental health. Stay strong. Don’t get broken.  There’s a free App called “CALM”. It’s awesome. Helps your mental health. Pass this on.",DrOlufunmilayo,663
71,2021-05-19 16:45:47,“Buy the dip” “Buy the dip”  Please buy a BP machine too. Check your blood pressure. At least once in 3-6months.  This is a serious advice.,DrOlufunmilayo,889
72,2021-05-19 08:04:52,Young people got killed in protests for a better/safer Nigeria. NLC accused us of violence.  Same NLC now call us family and asks help as govt dey press their neck. Are you normal?  Who be una family? Ta lo lebi werey? Better eat your breakfast as served by Alhaji Chef El Rufai.,DrOlufunmilayo,990
73,2021-05-18 22:08:37,"The Debt Service suspension by France and the G-20 does not go far enough. African countries need more by way of sustainable and affordable financing solutions, including debt relief, and very importantly, financing support for green energy investment.",MBuhari,530
74,2021-05-18 22:05:25,"France, the entire G20, EU &amp; global financial institutions should do more to support African countries to mitigate the social &amp; economic impact of the Coronavirus pandemic. Debt restructuring and relief, fair &amp; equitable vaccine distribution—these and more should be on the table.",MBuhari,1856
75,2021-05-18 17:17:22,Bruno x Cavani,iyoaye,1
76,2021-05-18 10:02:12,"A child has been potentially permanently scarred, permanently deformed, may never grow hair again in life and has been traumatised in an horrific manner.  But the focus and outrage from idiots on twitter is to defend the barbaric criminal woman who tried to burn this child alive.",DrOlufunmilayo,172
77,2021-05-18 09:12:33,"Since you all are mad, Pls remember who the actual victim is.  A child was called a witch. A child was tied hands and legs. A child was poured kerosene. A child was burnt with fire.  THE CHILD IS THE VICTIM. Shame on all of you defending the criminal who tried to kill this child.",DrOlufunmilayo,705
78,2021-05-18 08:01:20,"If you're not careful, social media will have you thinking you're a failure simply because you're not driving a Ferrari or vacationing in Mauritius.  You're making progress, you're winning small victories but social media is making you focus on the things you don't have.",aproko_doctor,10948
79,2021-05-18 07:41:26,A child got poured kerosene. A child got set ablaze with fire. This is trauma with potential to mentally damage the child now and forever.  But TwitterNG is upset the criminal upcoming murderer woman got a slap.  Tomorrow these idiots will come talk of mental health. Awon werey.,DrOlufunmilayo,629
80,2021-05-18 07:06:14,"“As a journalist, it’s unprofessional of him to slap the woman.”  But you were the very same idiots who wanted Police to beat up Uduak. You were the exact same people.  So let’s follow your logic: Will that be “professional” of the Police?  At this point: Werey ni gbogbo yin se.",DrOlufunmilayo,769
81,2021-05-18 06:53:50,This is why I always pity people who don’t have a mind of their own on this app.  Just few days ago you were happy that silly boy was tied to a tree and flogged like the animal that he is. But today you are upset that a woman who burnt a child got a slap.  Werey lo poju ninu yin.,DrOlufunmilayo,824
82,2021-05-18 06:48:38,My position is simple: You either support jungle justice. Or you don’t.  You either support extrajudicial punishments. Or you don’t.  You can’t pick and choose. You can’t celebrate the flogging of the stupid boy and be angry this murderous woman got a slap.  So make up your mind.,DrOlufunmilayo,475
83,2021-05-18 06:43:46,In the space of 1week: You celebrated a man being tied to a tree and beaten mercilessly for his evil act. You were upset Uduak was not rough-handled. But today you are outraged a woman who burnt up a child got a slap.  It’s the selective outrage and deliberate foolishness for me.,DrOlufunmilayo,696
84,2021-05-18 06:37:25,You lots were asking Uduak be beaten black and blue before/during that stupid interview by the Police.  So why are you now angry this woman got a slap?  I guess the answer is clear. You support jungle justice and extrajudicial punishments only for men.  Werey lo poju larin yin.,DrOlufunmilayo,946
85,2021-05-18 06:18:05,"A man beat his mom, People tied him to a tree and beat him 100 lashes. TwitterNG hailed the beating.  A woman poured kerosene on a child and burnt her. A man slapped that woman. Twitter is angry.  When a man is the victim of jungle justice, it’s ok. When it’s a woman, it’s wrong.",DrOlufunmilayo,2581
86,2021-05-17 23:50:00,Just one video changed the way I'm thinking about this release.,iyoaye,0
87,2021-05-17 23:50:00,Just one video changed the way I'm thinking about this release.,iyoaye,1
88,2021-05-17 23:44:22,“Health is like money; we never have a true idea of its value until we lose it.” ~ Josh Billings,iyoaye,4
89,2021-05-17 23:44:22,“Health is like money; we never have a true idea of its value until we lose it.” ~ Josh Billings,iyoaye,0
90,2021-05-17 15:49:25,"Include more vegetables, salads into your diet, not everytime 13 slices of bread, Fufu, starch etc.",aproko_doctor,14331
91,2021-05-17 14:42:38,"Jason's tweet is just one of many tweets that made me start deliberately thinking of investments in dollars.  Convert that profit to dollars and see where you really stand, the world is global now, you can't be thinking your money is valuable just because it has more zeros",aproko_doctor,3306
92,2021-05-17 10:47:57,"A lady died in her operating room in 2019. This same doctor ruined Omohtee bumbum in 2020. We were all witnesses.  How did another woman go back to Dr Anu again? Won fi shey yin ni?  Pls dear, always research the doctor before you lie down and they cut you like frozen chicken o.",DrOlufunmilayo,390
